Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
 8 march 2011,Champions League,FC Barcelona,Arsenal,Arsenal,45+3,1,0,Field goal,Left foot,Won
 26 january 2011,,FC Barcelona,UD Almeria,UD Almeria,16,3,0,,Left foot,Won
 26 january 2011,,FC Barcelona,UD Almeria,UD Almeria,9,1,0,,Left foot,Won
 12 january 2011,,FC Barcelona,Real Betis,Real Betis,73,3,0,,Left foot,Won
 12 january 2011,,FC Barcelona,Real Betis,Real Betis,62,2,0,Rebound,Left foot,Won
 12 january 2011,,FC Barcelona,Real Betis,Real Betis,44,1,0,,Left foot,Won
 10 november 2010,,FC Barcelona,AD Ceuta,AD Ceuta,68,5,1,,Left foot,Won
 20 october 2010,Champions League,FC Barcelona,FC Copenhagen,FC Copenhagen,90+2,2,0,,Left foot,Won
 20 october 2010,Champions League,FC Barcelona,FC Copenhagen,FC Copenhagen,19,1,0,,Left foot,Won
 14 september 2010,Champions League,FC Barcelona,Panathinaikos,Panathinaikos,45,3,1,,Left foot,Won
 14 september 2010,Champions League,FC Barcelona,Panathinaikos,Panathinaikos,22,1,1,,Left foot,Won
 21 august 2010,,FC Barcelona,Sevilla,Sevilla,90,4,0,,Left foot,Won
 21 august 2010,,FC Barcelona,Sevilla,Sevilla,24,2,0,,Left foot,Won
 6 april 2010,Champions League,FC Barcelona,Arsenal,Arsenal,88,4,1,Rebound,Left foot,Won
 6 april 2010,Champions League,FC Barcelona,Arsenal,Arsenal,42,3,1,,Left foot,Won
 6 april 2010,Champions League,FC Barcelona,Arsenal,Arsenal,21,1,1,,Left foot,Won
 17 march 2010,Champions League,FC Barcelona,VfB Stuttgart,VfB Stuttgart,60,3,0,,Left foot,Won
 17 march 2010,Champions League,FC Barcelona,VfB Stuttgart,VfB Stuttgart,13,1,0,Solo run,Left foot,Won
